main_title,total_seeders,total_leechers,total_peers
A Minecraft Movie,3903,1680,5583
A Working Man,4838,2556,7394
Black Bag,4602,2703,7305
In the Lost Lands,2510,674,3184
A Working Man,1545,1063,2608
Mickey 17,6647,5978,12625
Novocaine,2338,1189,3527
Sikandar,934,114,1048
Sinners,1523,3394,4917
Ash,2299,608,2907
Deva,293,39,332
The Accountant 2,3393,4470,7863
Locked,1848,1063,2911
Havoc,4351,2076,6427
The Alto Knights,912,248,1160
Captain America Brave New World,1454,393,1847
G20,1190,252,1442
JAAT,307,132,439
Holland,471,167,638
The Assessment,619,296,915
Gunslingers,751,111,862
Mere Husband Ki Biwi,288,22,310
Chhaava,276,24,300
Black Bag,524,172,696
It Feeds,649,44,693
Home Sweet Home Rebirth,773,76,849
Logout,332,21,353
Chhorii 2,194,14,208
Deva,324,46,370
Warfare,406,299,705
Becoming Led Zeppelin,371,114,485
Jewel Thief  The Heist Begins,798,206,1004
Crazxy,233,28,261
Superboys of Malegaon,153,16,169
Snow White,281,113,394
A Minecraft Movie,396,1368,1764
The Woman in the Yard,372,211,583
Neighborhood Watch,1057,169,1226
Zakir Khan Delulu Express,45,7,52
Court State vs A Nobody,174,22,196
Bring Them Down,329,94,423
Mickey 17,369,93,462
Fog Of War,307,26,333
Opus,309,133,442
Peter Pans Neverland Nightmare,384,33,417
Sex-Positive,73,21,94
Kaafir,241,17,258
Viduthalai Part 2,219,37,256
Death Of A Unicorn,184,94,278
Reign Of Fire,216,15,231
Chhaava,128,17,145
L2 Empuraan,498,138,636
The Rule Of Jenny Pen,304,145,449
The Diplomat,48,50,98
The World Will Tremble,201,20,221
Lifeline,306,11,317
The Monkey,536,583,1119
Bangkera,192,12,204
Test,131,17,148
Veera Dheera Sooran Part 2,235,66,301
Renner,183,13,196
Habal,148,13,161
Aghathiyaa,202,25,227
Bullet Train Explosion,566,127,693
Jewel Thief The Heist Begins,466,208,674
Shadow Of God,115,11,126
Freaky Tales,1648,591,2239
Pravinkoodu Shappu,261,27,288
Hell of a Summer,365,137,502
Violet,103,18,121
Superboys of Malegaon,164,32,196
Marching Powder,331,121,452
