main_title,total_seeders,total_leechers,total_peers
The Accountant 2,4004,4349,8353
A Working Man,3776,1340,5116
Death of a Unicorn,3105,2288,5393
Sinners,1404,2087,3491
Havoc,3534,857,4391
Warfare,4807,3690,8497
Ash,1529,301,1830
Locked,1385,362,1747
Drop,1487,1036,2523
Captain America Brave New World,1596,329,1925
The Alto Knights,912,248,1160
A Minecraft Movie,1393,348,1741
G20,1322,259,1581
JAAT,387,190,577
Another Simple Favor,993,588,1581
Jewel Thief  The Heist Begins,607,48,655
Raid 2,1072,126,1198
Gunslingers,751,111,862
Mere Husband Ki Biwi,490,28,518
Kesari Chapter 2,1035,198,1233
Chhaava,276,24,300
Logout,484,21,505
HIT 3,579,169,748
It Feeds,425,16,441
Home Sweet Home Rebirth,773,76,849
Exterritorial,817,518,1335
Neighborhood Watch,416,73,489
Chhorii 2,194,14,208
Costao,378,43,421
Crazxy,233,28,261
Superboys of Malegaon,153,16,169
The Woman in the Yard,570,162,732
The Accountant,411,442,853
Court State vs A Nobody,174,22,196
L2 Empuraan,395,54,449
Freaky Tales,743,560,1303
Jewel Thief The Heist Begins,413,49,462
The Luckiest Man in America,693,91,784
Mickey 17,369,93,462
Good Bad Ugly,218,45,263
Veera Dheera Sooran Part 2,297,34,331
The Bayou,307,29,336
Chhaava,128,17,145
Reign Of Fire,154,20,174
Bullet Train Explosion,380,401,781
Lifeline,265,12,277
Rust,439,109,548
Bangkera,192,12,204
Superboys of Malegaon,164,32,196
Hell of a Summer,244,132,376
Spun,184,12,196
Deep Inside Angeli Khang,171,13,184
Violet,103,18,121
Pravinkoodu Shappu,261,27,288
Shadow Of God,103,7,110
Paradox Effect,236,20,256
Marching Powder,199,24,223
SALVABLE,293,40,333
The Friend,205,88,293
The Penguin Lessons,243,168,411
star wars original trilogy h265 5 1,460,197,657
Warlord,298,16,314
Rapsa,319,33,352
Sabik,143,18,161
Captain America : Brave New World,67,13,80
Teenage Innocence,105,28,133
Tampipi,156,10,166
Screamboat,289,45,334
Exterritorial,113,51,164
Chhorii 2,123,18,141
Rich Flu,78,15,93
iHostage,62,8,70
