main_title,total_seeders,total_leechers,total_peers
The Last of Us: Part II,1316,2219,3535
inZOI,1365,122,1487
Schedule I,1228,41,1269
Schedule I,659,20,679
The Last of Us Part II,552,117,669
Mortal Kombat 1,307,275,582
The Elder Scrolls IV Oblivion Deluxe Edition,532,10133,10665
Blue Prince,779,21,800
Schedule I,100,1,101
Commandos: Origins,380,42,422
Tempest Rising,819,269,1088
House Party,309,31,340
South of Midnight,344,111,455
AI LIMIT,247,57,304
Schedule I,193,2,195
RuneScape: Dragonwilds,279,25,304
Schedule I,239,2,241
Baldur's Gate 3,610,766,1376
Schedule I 3 4f4,361,6,367
Mandragora: Whispers of the Witch Tree,546,83,629
Into the Dead: Our Darkest Days 3 10829,129,1,130
Venus Vacation PRISM: DEAD OR ALIVE Xtreme,234,19,253
The Last of Us Part II Crackfix,91,3,94
Haste [FitGirl,191,17,208
Dave The Diver,263,21,284
Age of Empires IV,186,141,327
Cities: Skylines - Collection [Fit,124,13,137
"Forever Skies [FitGirl , Selective Downl",187,24,211
Cyberpunk,218,131,349
The Sims 4,145,89,234
"Last Epoch [FitGirl , - fro",334,62,396
Nordhold,64,0,64
Age of Wonders 4,141,10,151
Wreckfest 2,57,4,61
South of Midnight,44,13,57
Baldur’s Gate 3,160,243,403
American Truck Simulator,133,17,150
South of Midnight,53,24,77
Sins of a Solar Empire II [FitGirl Repa,120,6,126
KARMA: The Dark World,75,13,88
Romancing SaGa 2: Revenge of the Seven,197,32,229
SnowRunner: 3-Year Anniversary Edition (/Season 15,110,42,152
Rain World,107,8,115
SaGa Frontier 2,118,10,128
FATAL FURY: City of the Wolves,666,416,1082
LUNAR Collection,251,29,280
Drive Beyond Horizons,20,3,23
Myst,122,4,126
Tainted Grail: The Fall of Avalon 9,21,4,25
#DRIVE Rally,159,10,169
"The Talos Principle: Reawakened [FitGirl , Selective Do",122,24,146
"Croc: Legend of the Gobbos - Remaster [FitGirl , Selective Downloa",50,18,68
Schedule I 3 4f8,152,11,163
Mandragora Whispers of the Witch Tree,98,10,108
CarX Street,193,59,252
Baldurs Gate 3 1 1 6758295,55,58,113
Last Epoch,102,6,108
Psycho Patrol R,41,0,41
Age of Wonders 4 Giant Kings,38,4,42
Crashlands 2 [FitGirl,107,14,121
Dark Deity 2,77,6,83
Aviassembly,94,0,94
Nikoderiko: The Magical World - Director's Cut,152,12,164
"Soulslinger: Envoy of Death [FitGirl , Selective Do",172,106,278
GUILTY GEAR -STRIVE-: Daredevil Edition [FitGir,67,22,89
Grit and Valor - : Resistance Edition,78,3,81
Last Epoch Tombs of the Erased,44,1,45
Chains of Freedom,145,7,152
Commandos Origins,82,5,87
Need For Speed Most Wanted Unofficial Remake,36,5,41
Marvel's Spider-Man 2,15,20,35
SNOW BROS 2 SPECIAL,74,4,78
Kingdom Come: Deliverance II,49,0,49
Strike Force 2: Terrorist Hunt,39,3,42
Lords of the Fallen,60,24,84
Oxygen Not Included,166,11,177
Dune: Imperium,76,0,76
Spilled!,34,0,34
UBOAT,81,18,99
INAYAH: Life after Gods,92,3,95
Marvel's Spider-Man 2 Digital Deluxe Edition,13,2,15
Nomad Idle 0 0c,38,0,38
Avowed,18,0,18
LONESTAR,55,0,55
Commandos: Origins,65,9,74
