title,clean_title,seeders,leechers,total_peers,category
Ballerina.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Ballerina DDP5 1 -NeoNoir,4786,3839,8625,movies
Thunderbolts.2025.Proper.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Thunderbolts Proper DDP5 1 -NeoNoir,3424,1974,5398,movies
Final Destination Bloodlines 2025 1080p WEB-DL HEVC x265 5.1 BONE,Final Destination Bloodlines 5 1 BONE,2222,804,3026,movies
Heads.of.State.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Heads of State DDP5 1 -NeoNoir,2323,2189,4512,movies
The.Phoenician.Scheme.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,The Phoenician Scheme DDP5 1 -NeoNoir,1694,671,2365,movies
Deep.Cover.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Deep Cover DDP5 1 -NeoNoir,1518,871,2389,movies
Karate Kid Legends 2025 1080p WEB-DL HEVC x265 5.1 BONE,Karate Kid Legends 5 1 BONE,2713,1093,3806,movies
The.Old.Guard.2.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,The Old Guard 2 DDP5 1 -NeoNoir,1390,700,2090,movies
Bring.Her.Back.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Bring Her Back DDP5 1 -NeoNoir,1227,1784,3011,movies
Ice Road Vengeance (2025) Eng 1080p WEBRip x265 AAC ESub,Ice Road Vengeance ESub,748,362,1110,movies
Thunderbolts 2025 2160p AMZN WEB-DL DDP5.1 HDR HEVC-TBMovies,Thunderbolts AMZN DDP5 1 HDR -TBMovies,1069,1866,2935,movies
The Unholy Trinity 2025 1080p WEB-DL HEVC x265 5.1 BONE,The Unholy Trinity 5 1 BONE,2538,379,2917,movies
Diablo.2025.1080p.WEBRip.x264.AAC5.1-LAMA,Diablo AAC5 1-LAMA,629,114,743,movies
Detective Sherdil (2025) Hin 1080p WEBRip x265 DD 5.1 ESub,Detective Sherdil Hin DD 5 1 ESub,621,55,676,movies
Raid 2 (2025) Hindi 1080p WEBRip x265 DD 5.1 ESub,Raid 2 Hindi DD 5 1 ESub,365,67,432,movies
KPop.Demon.Hunters.2025.1080p.WEB.H264-EDITH,KPop Demon Hunters WEB H264-EDITH,653,145,798,movies
Final Destination Bloodlines 2025 1080p PROPER WEB-DL HEVC x265 5.1 BONE,Final Destination Bloodlines PROPER 5 1 BONE,1539,161,1700,movies
Sister Midnight (2024) Hin 1080p WEBRip x264 DD 5.1 ESub,Sister Midnight Hin DD 5 1 ESub,482,40,522,movies
The.Old.Guard.2.2025.1080p.NF.WEB-DL.DDP5.1.H.264-EniaHD,The Old Guard 2 NF DDP5 1 H 264-EniaHD,979,391,1370,movies
Friendship 2024 1080p WEB-DL HEVC x265 5.1 BONE,Friendship 5 1 BONE,499,130,629,movies
Final Destination Bloodlines 2025 1080p AMZN WEB-DL DDP5.1 H.265-TBMovies,Final Destination Bloodlines AMZN DDP5 1 H 265-TBMovies,331,71,402,movies
The.Ritual.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,The Ritual DDP5 1 -NeoNoir,533,72,605,movies
Ballerina.2025.2160p.iT.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-BYNDR,Ballerina iT DDP5 1 Atmos DV HDR H 265-BYNDR,786,100,886,movies
Kaalidhar Laapata (2025) Hindi 1080p WEBRip x265  DD 5.1 ESub,Kaalidhar Laapata Hindi DD 5 1 ESub,488,50,538,movies
Eden 2024 1080p WEB-DL HEVC x265 5.1 BONE,Eden 5 1 BONE,1776,1330,3106,movies
"Kuberaa (2025) 720p HDRip x265 [ Hin, Tel ] AAC",Kuberaa,570,92,662,movies
Guns Up 2025 1080p WEB-DL HEVC x265 5.1 BONE,Guns Up 5 1 BONE,597,59,656,movies
Spaceballs 1987 REMASTERED 1080p BluRay HEVC x265 5.1 BONE,Spaceballs 5 1 BONE,630,227,857,movies
Ballerina (2025) (1080p AMZN WEB-DL x265 10bit EAC3 Atmos 5.1 Ghost) [QxR],Ballerina,541,191,732,movies
Echo Valley (2025) Eng 1080p WEBRip x265 DD 5.1 ESub,Echo Valley DD 5 1 ESub,320,306,626,movies
From the World of John Wick - Ballerina (2025) Eng 1080p WEBRip x264 AAC ESub,From the World of John Wick - Ballerina ESub,302,151,453,movies
The.Shrouds.2024.1080p.WEBRip.x264.AAC5.1-LAMA,The Shrouds AAC5 1-LAMA,411,94,505,movies
Dora and the Search for Sol Dorado 2025 1080p WEB-DL HEVC x265 5.1 BONE,Dora and the Search for Sol Dorado 5 1 BONE,798,84,882,movies
Thunderbolts 2025 WEB-DL 2160p HDR10+ DV HEVC DDP Atmos 5.1 x265-E,Thunderbolts HDR10,269,240,509,movies
Eleven.(2025).720p.AMZN.WEB-DL.HIN+KAN+MAL+TAM.AAC2.0.H.264-themoviesboss,Eleven AMZN HIN,274,62,336,movies
Thunderbolts 2025 1080p WEB-DL HEVC x265 5.1 BONE,Thunderbolts 5 1 BONE,588,250,838,movies
Off The Grid 2025 1080p WEB-DL HEVC x265 5.1 BONE,Off The Grid 5 1 BONE,486,34,520,movies
