title,clean_title,seeders,leechers,total_peers,category
Ballerina.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Ballerina DDP5 1 -NeoNoir,4775,3851,8626,movies
Thunderbolts.2025.Proper.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Thunderbolts Proper DDP5 1 -NeoNoir,3462,1804,5266,movies
Final Destination Bloodlines 2025 1080p WEB-DL HEVC x265 5.1 BONE,Final Destination Bloodlines 5 1 BONE,2222,804,3026,movies
Heads.of.State.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Heads of State DDP5 1 -NeoNoir,2516,2390,4906,movies
The.Phoenician.Scheme.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,The Phoenician Scheme DDP5 1 -NeoNoir,1694,671,2365,movies
Deep.Cover.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Deep Cover DDP5 1 -NeoNoir,1518,871,2389,movies
The.Old.Guard.2.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,The Old Guard 2 DDP5 1 -NeoNoir,1504,812,2316,movies
Karate Kid Legends 2025 1080p WEB-DL HEVC x265 5.1 BONE,Karate Kid Legends 5 1 BONE,2663,1098,3761,movies
Bring.Her.Back.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Bring Her Back DDP5 1 -NeoNoir,1121,1978,3099,movies
Ice Road Vengeance (2025) Eng 1080p WEBRip x265 AAC ESub,Ice Road Vengeance ESub,972,633,1605,movies
Thunderbolts 2025 2160p AMZN WEB-DL DDP5.1 HDR HEVC-TBMovies,Thunderbolts AMZN DDP5 1 HDR -TBMovies,1079,1845,2924,movies
Diablo.2025.1080p.WEBRip.x264.AAC5.1-LAMA,Diablo AAC5 1-LAMA,629,114,743,movies
Detective Sherdil (2025) Hin 1080p WEBRip x265 DD 5.1 ESub,Detective Sherdil Hin DD 5 1 ESub,621,55,676,movies
Raid 2 (2025) Hindi 1080p WEBRip x265 DD 5.1 ESub,Raid 2 Hindi DD 5 1 ESub,242,68,310,movies
KPop.Demon.Hunters.2025.1080p.WEB.H264-EDITH,KPop Demon Hunters WEB H264-EDITH,653,145,798,movies
Clown In A Cornfield (2025) Eng 1080p WEBRip x264 AAC ESub,Clown In A Cornfield ESub,456,53,509,movies
Final Destination Bloodlines 2025 1080p PROPER WEB-DL HEVC x265 5.1 BONE,Final Destination Bloodlines PROPER 5 1 BONE,1539,161,1700,movies
Sister Midnight (2024) Hin 1080p WEBRip x264 DD 5.1 ESub,Sister Midnight Hin DD 5 1 ESub,482,40,522,movies
The.Old.Guard.2.2025.1080p.NF.WEB-DL.DDP5.1.H.264-EniaHD,The Old Guard 2 NF DDP5 1 H 264-EniaHD,1034,390,1424,movies
Friendship 2024 1080p WEB-DL HEVC x265 5.1 BONE,Friendship 5 1 BONE,499,130,629,movies
Final Destination Bloodlines 2025 1080p AMZN WEB-DL DDP5.1 H.265-TBMovies,Final Destination Bloodlines AMZN DDP5 1 H 265-TBMovies,331,71,402,movies
The.Ritual.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,The Ritual DDP5 1 -NeoNoir,495,117,612,movies
The Unholy Trinity 2025 1080p WEB-DL HEVC x265 5.1 BONE,The Unholy Trinity 5 1 BONE,2409,447,2856,movies
Ballerina.2025.2160p.iT.WEB-DL.DDP5.1.Atmos.DV.HDR.H.265-BYNDR,Ballerina iT DDP5 1 Atmos DV HDR H 265-BYNDR,762,129,891,movies
Kaalidhar Laapata (2025) Hindi 1080p WEBRip x265  DD 5.1 ESub,Kaalidhar Laapata Hindi DD 5 1 ESub,463,92,555,movies
Guns Up 2025 1080p WEB-DL HEVC x265 5.1 BONE,Guns Up 5 1 BONE,623,60,683,movies
Eden 2024 1080p WEB-DL HEVC x265 5.1 BONE,Eden 5 1 BONE,1817,1252,3069,movies
Spaceballs 1987 REMASTERED 1080p BluRay HEVC x265 5.1 BONE,Spaceballs 5 1 BONE,630,227,857,movies
Ballerina (2025) (1080p AMZN WEB-DL x265 10bit EAC3 Atmos 5.1 Ghost) [QxR],Ballerina,622,186,808,movies
Airplane.2025.2025.1080p.WEBRip.x264.AAC5.1-LAMA,Airplane AAC5 1-LAMA,437,47,484,movies
Echo Valley (2025) Eng 1080p WEBRip x265 DD 5.1 ESub,Echo Valley DD 5 1 ESub,320,306,626,movies
From the World of John Wick - Ballerina (2025) Eng 1080p WEBRip x264 AAC ESub,From the World of John Wick - Ballerina ESub,333,195,528,movies
The.Shrouds.2024.1080p.WEBRip.x264.AAC5.1-LAMA,The Shrouds AAC5 1-LAMA,411,94,505,movies
Eleven.(2025).720p.AMZN.WEB-DL.HIN+KAN+MAL+TAM.AAC2.0.H.264-themoviesboss,Eleven AMZN HIN,274,62,336,movies
"Kuberaa (2025) 720p HDRip x265 [ Hin, Tel ] AAC",Kuberaa,511,89,600,movies
Thunderbolts 2025 WEB-DL 2160p HDR10+ DV HEVC DDP Atmos 5.1 x265-E,Thunderbolts HDR10,288,203,491,movies
Dora and the Search for Sol Dorado 2025 1080p WEB-DL HEVC x265 5.1 BONE,Dora and the Search for Sol Dorado 5 1 BONE,880,101,981,movies
Thunderbolts 2025 1080p WEB-DL HEVC x265 5.1 BONE,Thunderbolts 5 1 BONE,588,250,838,movies
Off The Grid 2025 1080p WEB-DL HEVC x265 5.1 BONE,Off The Grid 5 1 BONE,459,42,501,movies
The Old Guard 2 (2025) 1080p WEBRip x265 DD 5.1 ESub,The Old Guard 2 DD 5 1 ESub,240,54,294,movies
"28 Days And Weeks Later 2002,2007 1080p BluRay HEVC x265 5.1 BONE","28 Days And Weeks Later , 5 1 BONE",343,319,662,movies
Ballerina.From.the.World.of.John.Wick.2025.1080p.WEBRip.AAC5.1.10bits.x265-Rapta,Ballerina From the World of John Wick AAC5 1 10bits -Rapta,547,414,961,movies
Friendship.2025.1080p.iT.WEB-DL.DD5.1.H.264-Slay3R,Friendship iT DD5 1 H 264-Slay3R,333,51,384,movies
Heads of State (2025) 1080p WEBRip x265 DD 5.1 ESub,Heads of State DD 5 1 ESub,229,68,297,movies
"Thug Life (2025) 1080p HC HDRip x265  [ Cam Hin, Tam ] AAC",Thug Life,255,34,289,movies
Sorority 2025 1080p Tagalog WEB-DL HEVC x265 BONE,Sorority Tagalog BONE,336,27,363,movies
Tornado.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Tornado DDP5 1 -NeoNoir,337,70,407,movies
EuroTrip 2004 UNRATED 1080p BluRay HEVC x265 5.1 BONE,EuroTrip 5 1 BONE,299,63,362,movies
Final Destination Bloodlines (2025) AMZN 1080p WEBRip x265 DD 5.1 Hin Multi ESub,Final Destination Bloodlines AMZN DD 5 1 Hin ESub,255,26,281,movies
Ballerina 2025 2160p AMZN WEB-DL DDP5.1 Atmos HDR H.265-TBMovies,Ballerina AMZN DDP5 1 Atmos HDR H 265-TBMovies,246,488,734,movies
Pune.Highway.2025.1080p.10bit.AMZN.WEBRip.Hindi.DDP2.0.x265.HEVC-Ospreay,Pune Highway 10bit AMZN Hindi DDP2 0 -Ospreay,290,46,336,movies
Thunderbolts (2025) (1080p MA WEB-DL x265 10bit EAC3 5.1 Silence) [QxR],Thunderbolts,558,94,652,movies
Sex On Phone 2025 1080p Tagalog WEB-DL HEVC x265 BONE,Sex On Phone Tagalog BONE,246,29,275,movies
The.Amateur.2025.2160p.h265.WEB-DL.DV.HDR10+.EAC3-widows,The Amateur h265 DV HDR10,408,533,941,movies
Slutty the Clown (2021) 720p BluRay x264,Slutty the Clown,112,31,143,movies
"Ace (2025) 1080p WEBRip x265 AAC  [ Hin, Tam ]  Esub",Ace Esub,124,18,142,movies
Sew.Torn.2024.1080p.WEBRip.x264.AAC5.1-LAMA,Sew Torn AAC5 1-LAMA,146,17,163,movies
Unsatisfied - Full Time Females [1972 - France] (ENG) erotic thriller,Unsatisfied - Full Time Females erotic thriller,126,18,144,movies
Marshmallow 2025 1080p WEB-DL HEVC x265 5.1 BONE,Marshmallow 5 1 BONE,293,107,400,movies
Predator: Killer of Killers (2025) (1080p DSNP WEB-DL x265 10bit EAC3 Atmos 5.1 ...,Predator: Killer of Killers ( DSNP 10bit EAC3 Atmos 5 1,232,34,266,movies
Thunderbolts.2025.1080p.AMZN.WEB-DL.DDP5.1.H.264-KyoGo,Thunderbolts AMZN DDP5 1 H 264-KyoGo,136,33,169,movies
"Sex, Party & Lies (2009) UNRATED 720p BluRay x264 Eng Subs [Dual Audio] [Hindi D...","Sex, Party & Lies Subs [Hindi D",62,18,80,movies
The Hitchhikers Guide to the Galaxy 2005 1080p BluRay HEVC x265 5.1 BONE,The Hitchhikers Guide to the Galaxy 5 1 BONE,210,26,236,movies
American Pie Collection 1-9 1999-2020 UNRATED 1080p BluRay HEVC x265 5.1 BONE,American Pie Collection 1-9 - 5 1 BONE,201,119,320,movies
From the World of John Wick Ballerina (2025) 1080p x264 (DD+5.1 ATMOS 768Kbps & ...,From the World of John Wick Ballerina (DD,298,224,522,movies
Bayo 2025 1080p Tagalog WEB-DL HEVC x265 BONE,Bayo Tagalog BONE,232,21,253,movies
Kalakal 2025 1080p Tagalog WEB-DL HEVC x265 BONE,Kalakal Tagalog BONE,251,18,269,movies
The Old Guard 2 2025 1080p WEB-DL HEVC x265-RMTeam,The Old Guard 2 -RMTeam,644,444,1088,movies
Thunderbolts.2025.1080p.WEBRip.AAC5.1.10bits.x265-Rapta,Thunderbolts AAC5 1 10bits -Rapta,220,94,314,movies
The Last Rodeo 2025 1080p WEB-DL HEVC x265 5.1 BONE,The Last Rodeo 5 1 BONE,249,185,434,movies
Final.Destination.Bloodlines.2025.1080p.WEB-DL.DDP5.1.H264-AOC,Final Destination Bloodlines DDP5 1 H264-AOC,140,47,187,movies
The Assessment (2025) (1080p AMZN WEB-DL x265 10bit EAC3 5.1 Ghost) [QxR],The Assessment,130,22,152,movies
Heads of State 2025 1080p WEB-DL HEVC x265-RMTeam,Heads of State -RMTeam,449,421,870,movies
The Amateur (2025) (2160p AMZN WEB-DL H265 SDR DDP Atmos 5.1 English - HONE),The Amateur,258,121,379,movies
Squid Game Season 3 ~ [Ep 1 to 6] ~ 2025 ~ 720p ~ 10Bit ~ HEVC ~ WEB-DL~ Hindi ~...,Squid Game Season 3 ~ ~ ~ ~ 10Bit ~ ~ ~ Hindi ~,103,141,244,movies
Words of War 2025 1080p WEB-DL HEVC x265-RMTeam,Words of War -RMTeam,148,13,161,movies
28 Weeks Later 2007 1080p Blu-Ray HEVC x265 10Bit DDP5.1 Subs KINGDOM,28 Weeks Later Blu-Ray 10Bit DDP5 1 Subs KINGDOM,190,85,275,movies
The Day the Earth Blew Up: A Looney Tunes Movie (2024) (1080p BluRay x265 10bit ...,The Day the Earth Blew Up: A Looney Tunes Movie ( 10bit,152,8,160,movies
The Amateur (2025) (1080p MA WEB-DL x265 10bit EAC3 Atmos 5.1 Ghost) [QxR],The Amateur,238,11,249,movies
Taandob.(2025).1080p.WebRip.Bengali.DDP2.0.H.264-HDWebMovies,Taandob Bengali DDP2 0 H 264-HDWebMovies,234,161,395,movies
Fear.Below.2025.1080p.BluRay.x265.10bit.AAC5.1-LAMA,Fear Below 10bit AAC5 1-LAMA,138,13,151,movies
Final Destination Bloodlines (2025) (2160p iT WEB-DL Hybrid H265 DV HDR10+ DDP A...,Final Destination Bloodlines ( iT Hybrid H265 DV HDR10,190,219,409,movies
Karate.Kid.Legends.2025.WEBDL.1080p.EAC3.5.1.x264-widows,Karate Kid Legends WEBDL EAC3 5 1 -widows,670,162,832,movies
Friendship.2025.1080p.h264.AMZN.WEB-DL-widows,Friendship h264 AMZN -widows,407,51,458,movies
Saaree.2025.1080p.10bit.AMZN.WEBRip.Hindi-Telugu.DDP2.0.x265.HEVC-Ospreay,Saaree 10bit AMZN Hindi-Telugu DDP2 0 -Ospreay,101,8,109,movies
Annie - The Virgin of Saint Tropez [1975 - France] (ENG) erotic drama,Annie - The Virgin of Saint Tropez erotic drama,113,21,134,movies
Deep Cover 2025 1080p WEB-DL HEVC x265 5.1 BONE,Deep Cover 5 1 BONE,237,45,282,movies
Lilo and Stitch [2025] 1080p HDCAM x264 AC3 (UKB),Lilo and Stitch HDCAM,95,28,123,movies
