title,clean_title,seeders,leechers,total_peers,category
"The Last of Us: Part II - Remastered (v1.0.10402.1014 + DLC + Bonus OST, MULTi24...",The Last of Us: Part II - ( 0 10402 1014,1022,1592,2614,games
The Elder Scrolls IV Oblivion Remastered-RUNE,The Elder Scrolls IV Oblivion -RUNE,1696,7109,8805,games
inZOI (v20250327.1308.W + MULTi13) [DODI Repack],inZOI,694,78,772,games
Schedule I (v0.3.3f15 + Online Multiplayer) [DODI Repack],Schedule I,1228,41,1269,games
The Elder Scrolls IV Oblivion Remastered (2025) Deluxe Edition [PORTABLE],The Elder Scrolls IV Oblivion Deluxe Edition,1436,2600,4036,games
Schedule I v0.3.3f9,Schedule I 3 3f9,659,20,679,games
inZOI (Early Access),inZOI,442,39,481,games
The Last of Us Part II Remastered-RUNE,The Last of Us Part II -RUNE,272,107,379,games
The Last of Us Part II - Remastered (v1.0.10402.1014 + CrackFix + All DLCs + Bon...,The Last of Us Part II - ( 0 10402 1014,294,627,921,games
Mortal Kombat 1: Khaos Reigns Kollection (v1.28.0 + All DLCs + Ryujinx/Sudachi S...,Mortal Kombat 1: Khaos Reigns Kollection ( 28 0,307,275,582,games
Blue Prince [FitGirl Repack],Blue Prince,587,15,602,games
Schedule I v0.3.3f13,Schedule I 3 3f13,100,1,101,games
Commandos: Origins - Deluxe Edition & Classified Archives (v1.0.0.74101 + 3 DLCs...,Commandos: Origins - Deluxe Edition & Classified Archives ( 0 0 74101,356,37,393,games
"Tempest Rising: Deluxe Edition (v1.0.0+43454 + 3 DLCs/Bonuses, MULTi10) [FitGirl...",Tempest Rising: Deluxe Edition [FitGirl,627,184,811,games
"House Party: Supporter Edition (v1.4.0.13093 + 8 DLCs, MULTi10) [FitGirl Repack]",House Party: Supporter Edition,309,31,340,games
"South of Midnight: Premium Edition (v1.1.0-184977 + 2 DLCs/Bonuses, MULTi23) [Fi...",South of Midnight: Premium Edition [Fi,344,111,455,games
"AI LIMIT: Deluxe Edition (+ HotFix + 2 DLCs, MULTi10) [FitGirl Repack]",AI LIMIT: Deluxe Edition,247,57,304,games
RuneScape: Dragonwilds,RuneScape: Dragonwilds,183,9,192,games
Schedule I v0.3.3f14,Schedule I 3 3f14,193,2,195,games
Baldur's Gate 3: Digital Deluxe Edition (v4.1.1.6758295/Patch 8 + DLC/Bonus Cont...,Baldur's Gate 3: Digital Deluxe Edition ( 1 1 6758295/Patch 8,552,618,1170,games
Schedule I v0.3.3f15,Schedule I 3 3f15,239,2,241,games
Schedule I v0.3.4f4,Schedule I 3 4f4,338,5,343,games
Mandragora: Whispers of the Witch Tree - Digital Deluxe Edition (v1.2.4.2147 + 9...,Mandragora: Whispers of the Witch Tree - Digital Deluxe Edition ( 2 4 2147,519,50,569,games
Into the Dead: Our Darkest Days v0.3.10829,Into the Dead: Our Darkest Days 3 10829,117,5,122,games
Venus Vacation PRISM: DEAD OR ALIVE Xtreme - Digital Deluxe Edition with Early P...,Venus Vacation PRISM: DEAD OR ALIVE Xtreme - Digital Deluxe Edition with Early P,234,19,253,games
Tempest Rising-RUNE,Tempest Rising-RUNE,145,32,177,games
inZOI Update v2025.03.29,inZOI,53,1,54,games
"Haste (v1.0.b + Bonus Soundtrack, MULTi10) [FitGirl Repack, Selective Download -...","Haste [FitGirl ,",191,17,208,games
The Last of Us Part II Remastered Crackfix-RUNE,The Last of Us Part II Crackfix-RUNE,91,3,94,games
"Dave The Diver: Deluxe Edition (v1.0.4.1637 + 3 DLCs + Bonus Content, MULTi11) [...",Dave The Diver: Deluxe Edition [,241,15,256,games
inZOI Update v2025.03.30,inZOI,61,0,61,games
The Last of Us Part II Remastered Update v1.0.10407.714,The Last of Us Part II,79,2,81,games
"Age of Empires IV: Ultimate Bundle (v13.0.4343.0 + 6 DLCs/Bonuses, MULTi24) [Fit...",Age of Empires IV: Ultimate Bundle [Fit,152,126,278,games
"Cities: Skylines - Collection (v1.19.2-f3 + All DLCs/Bonus Content, MULTi9) [Fit...",Cities: Skylines - Collection [Fit,124,13,137,games
Cyberpunk 2077-CODEX [Ultimate Edition] [v2.21] [ALL DLCs] [Dev Tools] [Multi19],Cyberpunk -CODEX,218,131,349,games
"Forever Skies (v1.0.0 #39095 + 4 DLCs, MULTi12) [FitGirl Repack, Selective Downl...","Forever Skies [FitGirl , Selective Downl",171,21,192,games
The Last of Us Part II Remastered Update v1.1.10410.0940,The Last of Us Part II,52,1,53,games
The Last of Us Part II Remastered Update v1.1.10411.0746,The Last of Us Part II,64,8,72,games
"The Sims 4: Deluxe Edition (v1.113.297.1020 + ONLINE + All DLCs [selectable!], M...",The Sims 4: Deluxe Edition ( 113 297 1020,126,66,192,games
