main_title,total_seeders,total_leechers,total_peers
The Last of Us: Part II,1316,2219,3535
The Elder Scrolls IV: Oblivion,6022,9377,15399
The Elder Scrolls IV Oblivion,1865,1309,3174
Schedule I,1228,41,1269
inZOI,1365,122,1487
Clair Obscur: Expedition 33,3761,2836,6597
The Last of Us Part II,526,112,638
Blue Prince,787,15,802
Clair Obscur Expedition 33,1379,901,2280
Tempest Rising,696,175,871
Commandos: Origins,283,16,299
Schedule I,100,1,101
House Party,309,31,340
Baldur's Gate 3,490,630,1120
South of Midnight,344,111,455
AI LIMIT,247,57,304
RuneScape: Dragonwilds,223,20,243
Schedule I,193,2,195
Schedule I,239,2,241
Schedule I 3 4f4,392,4,396
Mandragora: Whispers of the Witch Tree,415,36,451
Venus Vacation PRISM: DEAD OR ALIVE Xtreme,234,19,253
Into the Dead: Our Darkest Days 3 10829,87,6,93
Haste [FitGirl,191,17,208
The Last of Us Part II Crackfix,91,3,94
Age of Empires IV,170,119,289
Dave The Diver,246,15,261
The Sims 4,178,92,270
"Last Epoch [FitGirl , - fro",170,33,203
"Forever Skies [FitGirl , Selective Downl",148,21,169
FATAL FURY: City of the Wolves,369,111,480
Age of Wonders 4,141,10,151
Baldur’s Gate 3,163,198,361
South of Midnight,44,13,57
Days Gone [DODI Re,266,653,919
American Truck Simulator,133,17,150
Schedule I 3 4f8,173,5,178
South of Midnight,53,24,77
LUNAR Collection,156,15,171
Sins of a Solar Empire II [FitGirl Repa,120,6,126
Romancing SaGa 2: Revenge of the Seven,157,14,171
SnowRunner: 3-Year Anniversary Edition (/Season 15,98,21,119
KARMA: The Dark World,75,13,88
Rain World,107,8,115
SaGa Frontier 2,118,10,128
Tainted Grail: The Fall of Avalon 9,21,4,25
The Elder Scrolls IV: Oblivion,2409,860,3269
CarX Street,155,35,190
#DRIVE Rally,135,6,141
Aviassembly,80,1,81
"The Talos Principle: Reawakened [FitGirl , Selective Do",121,16,137
Baldurs Gate 3 1 1 6758295,44,49,93
Last Epoch,68,8,76
"Croc: Legend of the Gobbos - Remaster [FitGirl , Selective Downloa",50,18,68
Mandragora Whispers of the Witch Tree,54,3,57
Lords of the Fallen,34,9,43
"Soulslinger: Envoy of Death [FitGirl , Selective Do",107,40,147
Crashlands 2 [FitGirl,95,6,101
Age of Wonders 4 Giant Kings,38,4,42
Days Gone Broken Road,157,151,308
Nikoderiko: The Magical World - Director's Cut,116,8,124
Kingdom Come: Deliverance II,37,0,37
DRAGON BALL: Sparking! ZERO,270,135,405
Need For Speed Most Wanted Unofficial Remake,48,1,49
Chains of Freedom,117,8,125
Marvel's Spider-Man 2,15,20,35
Grit and Valor - : Resistance Edition,78,3,81
Last Epoch Tombs of the Erased,27,1,28
Pax Augusta,127,4,131
Oxygen Not Included,128,4,132
Commandos Origins,51,3,54
Days Gone [FitGirl,425,1481,1906
SNOW BROS 2 SPECIAL,58,2,60
Strike Force 2: Terrorist Hunt,39,3,42
UBOAT,72,9,81
Dune: Imperium,76,0,76
Marvel's Spider-Man 2 Digital Deluxe Edition,13,2,15
Spilled!,34,0,34
Avowed,18,0,18
INAYAH: Life after Gods,92,3,95
BeamNG drive 35 5,40,8,48
Steel Seed,171,52,223
