main_title,total_seeders,total_leechers,total_peers
The Accountant 2,4404,9582,13986
A Working Man,3776,1340,5116
In the Lost Lands,2768,740,3508
Death of a Unicorn,3877,1917,5794
Sinners,1404,2087,3491
Novocaine,2338,1189,3527
Havoc,3389,1580,4969
Ash,1529,301,1830
Locked,1385,362,1747
Captain America Brave New World,1596,329,1925
Drop,1673,1545,3218
The Alto Knights,912,248,1160
A Minecraft Movie,1428,398,1826
G20,1322,259,1581
JAAT,387,190,577
Jewel Thief  The Heist Begins,316,23,339
Another Simple Favor,1121,717,1838
The Assessment,619,296,915
Gunslingers,751,111,862
Mere Husband Ki Biwi,490,28,518
Chhaava,276,24,300
Logout,484,21,505
It Feeds,425,16,441
Raid 2,1260,136,1396
Home Sweet Home Rebirth,773,76,849
Warfare,366,188,554
Neighborhood Watch,466,96,562
Chhorii 2,194,14,208
Exterritorial,909,599,1508
Crazxy,233,28,261
Costao,460,51,511
Mickey 17,1565,1478,3043
Superboys of Malegaon,153,16,169
HIT 3,525,88,613
The Woman in the Yard,570,162,732
Court State vs A Nobody,174,22,196
L2 Empuraan,199,23,222
Freaky Tales,842,1153,1995
The Accountant,470,848,1318
Jewel Thief The Heist Begins,209,30,239
Mickey 17,369,93,462
Good Bad Ugly,308,62,370
The Bayou,289,38,327
Veera Dheera Sooran Part 2,155,22,177
Chhaava,128,17,145
Reign Of Fire,154,20,174
The World Will Tremble,201,20,221
Lifeline,265,12,277
Bullet Train Explosion,380,401,781
Bangkera,192,12,204
Rust,500,123,623
Hell of a Summer,244,132,376
Superboys of Malegaon,164,32,196
Spun,211,21,232
Deep Inside Angeli Khang,159,13,172
Pravinkoodu Shappu,261,27,288
Violet,103,18,121
Shadow Of God,103,7,110
Paradox Effect,264,38,302
Marching Powder,199,24,223
The Friend,274,106,380
The Penguin Lessons,261,143,404
Warlord,206,13,219
SALVABLE,389,68,457
Captain America : Brave New World,67,13,80
Sabik,226,32,258
Teenage Innocence,104,18,122
