main_title,total_seeders,total_leechers,total_peers
The Last of Us: Part II,1316,2219,3535
The Elder Scrolls IV: Oblivion,5232,6394,11626
The Elder Scrolls IV Oblivion,1590,885,2475
Schedule I,1228,41,1269
inZOI,1416,129,1545
Clair Obscur: Expedition 33,3780,2160,5940
The Last of Us Part II,497,112,609
Clair Obscur Expedition 33,1369,731,2100
Blue Prince,787,15,802
Tempest Rising,666,126,792
Commandos: Origins,283,16,299
Schedule I,100,1,101
Baldur's Gate 3,459,565,1024
House Party,309,31,340
South of Midnight,344,111,455
AI LIMIT,247,57,304
RuneScape: Dragonwilds,191,16,207
Schedule I,193,2,195
Schedule I,239,2,241
Schedule I 3 4f4,392,4,396
Mandragora: Whispers of the Witch Tree,374,23,397
Into the Dead: Our Darkest Days 3 10829,87,6,93
Haste [FitGirl,191,17,208
Age of Empires IV,131,105,236
Dave The Diver,246,15,261
The Last of Us Part II Crackfix,91,3,94
The Sims 4,178,92,270
"Last Epoch [FitGirl , - fro",137,19,156
Days Gone [DODI Re,235,427,662
FATAL FURY: City of the Wolves,331,83,414
"Forever Skies [FitGirl , Selective Downl",149,20,169
Days Gone [FitGirl,536,1023,1559
Age of Wonders 4,141,10,151
Baldur’s Gate 3,156,156,312
South of Midnight,44,13,57
Schedule I 3 4f8,167,5,172
American Truck Simulator,133,17,150
LUNAR Collection,137,16,153
South of Midnight,53,24,77
The Elder Scrolls IV: Oblivion,1818,760,2578
Sins of a Solar Empire II [FitGirl Repa,120,6,126
SnowRunner: 3-Year Anniversary Edition (/Season 15,98,21,119
Romancing SaGa 2: Revenge of the Seven,149,16,165
KARMA: The Dark World,75,13,88
Rain World,107,8,115
CarX Street,121,29,150
SaGa Frontier 2,118,10,128
Aviassembly,80,1,81
#DRIVE Rally,134,2,136
"The Talos Principle: Reawakened [FitGirl , Selective Do",121,16,137
Baldurs Gate 3 1 1 6758295,57,39,96
Last Epoch,86,11,97
"Croc: Legend of the Gobbos - Remaster [FitGirl , Selective Downloa",50,18,68
Mandragora Whispers of the Witch Tree,46,2,48
Days Gone Broken Road,122,118,240
DRAGON BALL: Sparking! ZERO,251,108,359
Lords of the Fallen,28,7,35
"Soulslinger: Envoy of Death [FitGirl , Selective Do",114,34,148
Crashlands 2 [FitGirl,88,9,97
Need For Speed Most Wanted Unofficial Remake,48,1,49
Kingdom Come: Deliverance II,43,0,43
Age of Wonders 4 Giant Kings,38,4,42
Nikoderiko: The Magical World - Director's Cut,93,7,100
Marvel's Spider-Man 2,15,20,35
Chains of Freedom,114,2,116
Pax Augusta,120,8,128
Last Epoch Tombs of the Erased,34,0,34
Oxygen Not Included,129,4,133
Commandos Origins,51,3,54
Breath of Fire IV,368,12,380
SNOW BROS 2 SPECIAL,58,2,60
BeamNG drive 35 5,40,8,48
UBOAT,55,5,60
Dune: Imperium,76,0,76
Steel Seed,129,36,165
Marvel's Spider-Man 2 Digital Deluxe Edition,13,2,15
Avowed,18,0,18
INAYAH: Life after Gods,92,3,95
CyberCorp,203,10,213
Commandos: Origins,61,6,67
RimWorld 5 4409,20,0,20
