main_title,total_seeders,total_leechers,total_peers
The Elder Scrolls IV: Oblivion,3261,1410,4671
Clair Obscur: Expedition 33,2640,822,3462
The Elder Scrolls IV Oblivion,1120,308,1428
The Precinct,1539,73,1612
Clair Obscur Expedition 33,1405,312,1717
Days Gone [FitGirl,446,424,870
Days Gone [DODI Re,110,105,215
Stellaris,267,19,286
Crusader Kings III: Collection,341,15,356
FATAL FURY: City of the Wolves,226,25,251
V Rising,175,20,195
"Kingdom Come: Deliverance II [FitGirl , S",273,320,593
The Midnight Walk,177,13,190
DRAGON BALL: Sparking! ZERO,154,68,222
Drive Beyond Horizons 04 20,112,13,125
MotoGP 25,101,13,114
Cash Cleaner Simulator,248,10,258
Conquest Dark,98,0,98
The Slormancer,127,3,130
Capcom Fighting Collection 2 [FitGi,355,26,381
Revenge of the Savage Planet: Cosmic Hoarder Edition (-4,179,12,191
Age of Empires II,106,61,167
"The Hundred Line: Last Defense Academy [FitGirl , Selective Downl",117,28,145
EVERSPACE 2: [FitGirl Re,164,53,217
Breath of Fire IV,184,5,189
Drive Beyond Horizons,108,9,117
"KIBORG [FitGirl , - fro",68,14,82
Life is Strange: Double Exposure,194,63,257
The Last of Us Part II,22,0,22
The Sinking City,142,82,224
FANTASY LIFE i: The Girl Who Steals Time,545,136,681
Teardown,194,3,197
Tower Dominion,94,0,94
"Diplomacy is Not an Option [FitGirl , S",210,15,225
Drop Duchy,201,2,203
World of Goo 2,151,7,158
Days Gone Broken Road,25,6,31
Wartales: The Mercenaries Edition [FitGirl,72,4,76
MEMORIAPOLIS,144,4,148
Crusader Kings III: Royal Edition,110,3,113
CyberCorp,69,0,69
Steel Seed,78,22,100
Darfall,176,4,180
Dark Souls III Deluxe Edition,12,2,14
No Rest for the Wicked,100,6,106
ICARUS,71,25,96
Stellaris BioGenesis,68,3,71
Amerzone: The Explorer's Legacy,70,14,84
Captain Blood,77,6,83
The Last Spell,97,4,101
Echoes of Yi: Samsara,79,25,104
Slitterhead,90,13,103
Kingdom Come Deliverance II Brushes with Death,51,22,73
Lollipop Chainsaw RePOP [Fit,86,14,100
Schedule I 3 5f3,105,5,110
FANTASY LIFE i: The Girl Who Steals Time,83,10,93
Starcom: Unknown Space,82,1,83
MechWarrior 5: Clans,85,48,133
Capcom Fighting Collection 2,61,3,64
"Skin Deep [FitGirl , Select",71,7,78
Ratopia,109,2,111
Space Engineers,82,9,91
Onimusha: Warlords [FitGirl,65,8,73
Pathfinder: Wrath of the Righteous,90,14,104
Into the Dead: Our Darkest Days,46,5,51
Lost Records: Bloom & Rage,80,28,108
Deadzone: Rogue,30,1,31
Stellaris,69,6,75
"Warhammer 40,000: Space Marine 2",23,14,37
"Yes, Your Grace 2: Snowfall",144,2,146
Schedule I 3 5,21,5,26
The Hundred Line Last Defense Academy,20,4,24
Artisan TD,106,3,109
Citadelum,89,2,91
inZOI,104,28,132
Lushfoil Photography Sim,109,8,117
Spirit of the North 2,84,13,97
Farm Manager World,70,2,72
Another Crab's Treasure,92,9,101
Prison Simulator,162,6,168
"Badlands Crew [FitGirl , Selective Do",61,6,67
SpellForce: Conquest of Eo,139,6,145
Cubic Odyssey,150,9,159
StarVaders-TENOKE,39,0,39
Tank Squad,62,3,65
Baldur's Gate 3,14,0,14
Builders of Greece,108,5,113
