main_title,total_seeders,total_leechers,total_peers
A Minecraft Movie,3903,1680,5583
A Working Man,4088,2407,6495
Black Bag,4602,2703,7305
In the Lost Lands,2768,740,3508
A Working Man,1545,1063,2608
Mickey 17,6647,5978,12625
Novocaine,2338,1189,3527
Sikandar,934,114,1048
Deva,293,39,332
Sinners,1318,2566,3884
Ash,2539,522,3061
The Alto Knights,912,248,1160
Captain America Brave New World,1478,390,1868
G20,1322,259,1581
Locked,2025,689,2714
Holland,471,167,638
JAAT,118,88,206
The Assessment,619,296,915
Gunslingers,756,116,872
Mere Husband Ki Biwi,314,36,350
Black Bag,524,172,696
Chhaava,276,24,300
Home Sweet Home Rebirth,688,78,766
It Feeds,705,94,799
Chhorii 2,194,14,208
Logout,350,20,370
Deva,324,46,370
Becoming Led Zeppelin,371,114,485
Warfare,461,329,790
Crazxy,183,22,205
Superboys of Malegaon,153,16,169
Snow White,281,113,394
A Minecraft Movie,396,1368,1764
The Woman in the Yard,550,190,740
Zakir Khan Delulu Express,45,7,52
Court State vs A Nobody,167,24,191
Bring Them Down,329,94,423
Fog Of War,307,26,333
Mickey 17,369,93,462
Opus,309,133,442
Peter Pans Neverland Nightmare,384,33,417
Sex-Positive,73,21,94
Viduthalai Part 2,219,37,256
Kaafir,241,17,258
Death Of A Unicorn,184,94,278
Reign Of Fire,243,19,262
Chhaava,128,17,145
The Rule Of Jenny Pen,304,145,449
Lifeline,330,13,343
The World Will Tremble,201,20,221
The Diplomat,48,50,98
The Monkey,536,583,1119
Presence,214,75,289
Test,131,17,148
Bangkera,192,12,204
Renner,183,13,196
Aghathiyaa,202,25,227
Habal,148,13,161
Love Hurts,221,16,237
Shadow Of God,133,19,152
Pravinkoodu Shappu,261,27,288
Turn Me On,105,6,111
Violet,108,20,128
Alexander And The Terrible Horrible No Good Very Bad Road Trip,157,14,171
Superboys of Malegaon,108,28,136
Marching Powder,436,123,559
Hell of a Summer,447,139,586
The Pursuit of Lust 5,71,4,75
Myth of Man,179,4,183
Buck Rogers in the 25th Century,99,6,105
The Last Supper,160,15,175
