main_title,total_seeders,total_leechers,total_peers
The Accountant 2,3897,6303,10200
A Working Man,3776,1340,5116
Death of a Unicorn,3236,2164,5400
Sinners,1404,2087,3491
Novocaine,2338,1189,3527
Havoc,3527,907,4434
Ash,1529,301,1830
Warfare,5048,3813,8861
Locked,1385,362,1747
Drop,1482,1094,2576
Captain America Brave New World,1596,329,1925
The Alto Knights,912,248,1160
A Minecraft Movie,1173,240,1413
G20,1322,259,1581
JAAT,387,190,577
Another Simple Favor,1051,672,1723
Jewel Thief  The Heist Begins,607,48,655
Raid 2,1167,125,1292
The Assessment,619,296,915
Gunslingers,751,111,862
Mere Husband Ki Biwi,490,28,518
Chhaava,276,24,300
Logout,484,21,505
It Feeds,425,16,441
Home Sweet Home Rebirth,773,76,849
Exterritorial,886,548,1434
Neighborhood Watch,416,73,489
HIT 3,519,111,630
Chhorii 2,194,14,208
Costao,393,40,433
Crazxy,233,28,261
Superboys of Malegaon,153,16,169
The Woman in the Yard,570,162,732
Kesari Chapter 2,742,207,949
The Accountant,397,658,1055
Court State vs A Nobody,174,22,196
L2 Empuraan,395,54,449
Freaky Tales,743,560,1303
Jewel Thief The Heist Begins,413,49,462
Mickey 17,369,93,462
Good Bad Ugly,271,31,302
Veera Dheera Sooran Part 2,297,34,331
The Bayou,255,32,287
The Luckiest Man in America,742,117,859
Chhaava,128,17,145
Reign Of Fire,154,20,174
Lifeline,265,12,277
Bullet Train Explosion,380,401,781
Bangkera,192,12,204
Rust,490,120,610
Superboys of Malegaon,164,32,196
Hell of a Summer,244,132,376
Spun,174,13,187
Deep Inside Angeli Khang,128,9,137
Violet,103,18,121
Pravinkoodu Shappu,261,27,288
Shadow Of God,103,7,110
Paradox Effect,230,28,258
Marching Powder,199,24,223
The Friend,243,106,349
SALVABLE,338,44,382
The Penguin Lessons,257,141,398
Warlord,253,20,273
star wars original trilogy h265 5 1,540,193,733
In the Lost Lands,258,66,324
Captain America : Brave New World,67,13,80
Sabik,157,11,168
Rapsa,263,28,291
Magazine Dreams,204,61,265
Teenage Innocence,108,27,135
