main_title,total_seeders,total_leechers,total_peers
The Elder Scrolls IV: Oblivion,3261,1410,4671
Clair Obscur: Expedition 33,2640,822,3462
The Elder Scrolls IV Oblivion,1120,308,1428
Baldur's Gate 3,370,353,723
Clair Obscur Expedition 33,1413,310,1723
The Precinct,1898,86,1984
Tempest Rising,373,74,447
Days Gone [FitGirl,446,424,870
Mandragora: Whispers of the Witch Tree,309,32,341
Days Gone [DODI Re,110,105,215
Stellaris,314,25,339
Crusader Kings III: Collection,341,15,356
FATAL FURY: City of the Wolves,226,25,251
"Last Epoch [FitGirl , - fro",120,14,134
V Rising,175,20,195
Schedule I 3 4f8,199,3,202
The Midnight Walk,226,23,249
Drive Beyond Horizons 04 20,112,13,125
DRAGON BALL: Sparking! ZERO,154,68,222
MotoGP 25,101,13,114
Conquest Dark,98,0,98
CarX Street,108,17,125
Cash Cleaner Simulator,306,10,316
LUNAR Collection,132,10,142
RuneScape: Dragonwilds,46,4,50
Revenge of the Savage Planet: Cosmic Hoarder Edition (-4,166,14,180
"The Hundred Line: Last Defense Academy [FitGirl , Selective Downl",117,28,145
Age of Empires II,127,93,220
Breath of Fire IV,184,5,189
Lords of the Fallen,18,9,27
EVERSPACE 2: [FitGirl Re,269,87,356
"KIBORG [FitGirl , - fro",68,14,82
The Last of Us Part II,22,0,22
Last Epoch,54,3,57
The Slormancer,110,6,116
Teardown,194,3,197
World of Goo 2,151,7,158
The Sinking City,217,153,370
Days Gone Broken Road,25,6,31
Tower Dominion,98,0,98
Life is Strange: Double Exposure,289,161,450
Drop Duchy,218,5,223
"Soulslinger: Envoy of Death [FitGirl , Selective Do",67,14,81
Drive Beyond Horizons,86,10,96
MEMORIAPOLIS,144,4,148
"Kingdom Come: Deliverance II [FitGirl , S",400,1269,1669
Wartales: The Mercenaries Edition [FitGirl,72,4,76
"Diplomacy is Not an Option [FitGirl , S",329,46,375
Pax Augusta,91,7,98
Steel Seed,78,22,100
CyberCorp,69,0,69
Crusader Kings III: Royal Edition,110,3,113
Dark Souls III Deluxe Edition,12,2,14
No Rest for the Wicked,44,0,44
Stellaris BioGenesis,68,3,71
Tempest Rising,74,20,94
Amerzone: The Explorer's Legacy,70,14,84
Darfall,242,7,249
The Last Spell,97,4,101
Echoes of Yi: Samsara,79,25,104
Captain Blood,87,6,93
ICARUS,91,28,119
Slitterhead,96,17,113
Lollipop Chainsaw RePOP [Fit,86,14,100
Starcom: Unknown Space,82,1,83
Kingdom Come Deliverance II Brushes with Death,89,93,182
"Skin Deep [FitGirl , Select",71,7,78
MechWarrior 5: Clans,120,80,200
Ratopia,109,2,111
Onimusha: Warlords [FitGirl,65,8,73
Capcom Fighting Collection 2,97,12,109
Space Engineers,132,22,154
Lost Records: Bloom & Rage,80,28,108
Pathfinder: Wrath of the Righteous,64,17,81
Into the Dead: Our Darkest Days,40,5,45
Schedule I 3 5f3,104,2,106
The Hundred Line Last Defense Academy,20,4,24
Stellaris,86,8,94
Blue Prince,30,1,31
Artisan TD,106,3,109
inZOI,24,1,25
Citadelum,89,2,91
Deadzone: Rogue,30,1,31
"Warhammer 40,000: Space Marine 2",23,14,37
Lushfoil Photography Sim,109,8,117
Spirit of the North 2,97,11,108
Farm Manager World,70,2,72
"Badlands Crew [FitGirl , Selective Do",61,6,67
