main_title,total_seeders,total_leechers,total_peers
A Minecraft Movie,3857,1675,5532
A Working Man,4160,2501,6661
Black Bag,4602,2703,7305
In the Lost Lands,2768,740,3508
The Monkey,2662,1201,3863
A Working Man,1545,1063,2608
Mickey 17,6647,5978,12625
Novocaine,2338,1189,3527
Sikandar,934,114,1048
Deva,293,39,332
The Alto Knights,926,253,1179
Sinners,1360,2478,3838
Captain America Brave New World,1544,432,1976
Ash,2910,614,3524
G20,1051,295,1346
Locked,2353,840,3193
Holland,471,167,638
JAAT,102,94,196
The Assessment,619,296,915
Gunslingers,772,119,891
Black Bag,524,172,696
Mere Husband Ki Biwi,393,38,431
Chhaava,234,30,264
Home Sweet Home Rebirth,731,104,835
It Feeds,822,100,922
Chhorii 2,160,11,171
A Knights War,311,29,340
Logout,360,31,391
Deva,324,46,370
Becoming Led Zeppelin,371,114,485
Crazxy,153,25,178
Warfare,480,425,905
Superboys of Malegaon,145,11,156
Snow White,281,113,394
A Minecraft Movie,396,1368,1764
The Woman in the Yard,422,148,570
Zakir Khan Delulu Express,45,7,52
Court State vs A Nobody,148,22,170
Bring Them Down,329,94,423
Fog Of War,307,26,333
Mickey 17,338,95,433
Arouse,245,18,263
Peter Pans Neverland Nightmare,384,33,417
Opus,309,133,442
Sex-Positive,73,21,94
Viduthalai Part 2,219,37,256
Kaafir,241,17,258
Death Of A Unicorn,184,94,278
Reign Of Fire,274,21,295
Chhaava,119,12,131
The Rule Of Jenny Pen,304,145,449
Lifeline,391,19,410
The World Will Tremble,201,20,221
The Diplomat,48,50,98
Presence,214,75,289
Test,131,17,148
Bangkera,141,15,156
Renner,183,13,196
Aghathiyaa,202,25,227
Habal,148,13,161
Love Hurts,221,16,237
Shadow Of God,143,16,159
Pravinkoodu Shappu,91,11,102
Turn Me On,105,6,111
Violet,113,14,127
Alexander And The Terrible Horrible No Good Very Bad Road Trip,157,14,171
Superboys of Malegaon,101,25,126
The Pursuit of Lust 5,71,4,75
Myth of Man,179,4,183
Black Diamond,85,6,91
Buck Rogers in the 25th Century,99,6,105
