title,clean_title,seeders,leechers,total_peers,category
"The Last of Us: Part II - Remastered (v1.0.10402.1014 + DLC + Bonus OST, MULTi24...",The Last of Us: Part II - ( 0 10402 1014,1321,2716,4037,games
inZOI (v20250327.1308.W + MULTi13) [DODI Repack],inZOI,944,105,1049,games
inZOI (Early Access),inZOI,474,32,506,games
Schedule I v0.3.3f9,Schedule I 3 3f9,659,20,679,games
"Rise of the Ronin (v1.09 + DLC + Bonus Soundtrack, MULTi21) [FitGirl Repack, Sel...","Rise of the Ronin [FitGirl , Sel",514,463,977,games
The Last of Us Part II Remastered-RUNE,The Last of Us Part II -RUNE,366,163,529,games
Kingdom Come: Deliverance II v1.2,Kingdom Come: Deliverance II 2,107,33,140,games
Schedule I (v0.3.3f15 + Online Multiplayer) [DODI Repack],Schedule I,881,39,920,games
Mortal Kombat 1: Khaos Reigns Kollection (v1.28.0 + All DLCs + Ryujinx/Sudachi S...,Mortal Kombat 1: Khaos Reigns Kollection ( 28 0,331,240,571,games
Schedule I v0.3.3f13,Schedule I 3 3f13,106,2,108,games
The Last of Us Part II - Remastered (v1.0.10402.1014 + CrackFix + All DLCs + Bon...,The Last of Us Part II - ( 0 10402 1014,412,1194,1606,games
Schedule I v0.3.3f14,Schedule I 3 3f14,230,3,233,games
Kingdom Come: Deliverance II Update v1.2.1,Kingdom Come: Deliverance II,84,1,85,games
"BLEACH: Rebirth of Souls (v1.03/Builds 17746622 + 17819379 + 6 DLCs, MULTi15) [F...",BLEACH: Rebirth of Souls [F,410,145,555,games
Rise of the Ronin: Deluxe Edition (v1.09 + Early Purchase Bonus DLC + Bonus Cont...,Rise of the Ronin: Deluxe Edition ( 09,128,122,250,games
Schedule I v0.3.3f15,Schedule I 3 3f15,363,6,369,games
"Xenoblade Chronicles X: Definitive Edition (v1.0.1 + Ryujinx Switch Emulator, MU...",Xenoblade Chronicles X: Definitive Edition ( 0 1,237,33,270,games
"AI LIMIT: Deluxe Edition (+ HotFix + 2 DLCs, MULTi10) [FitGirl Repack]",AI LIMIT: Deluxe Edition,218,34,252,games
"Cities: Skylines II (v1.2.5f1 + 16 DLCs + Bonus OSTs, MULTi12) [FitGirl Repack, ...","Cities: Skylines II [FitGirl ,",262,66,328,games
"House Party: Supporter Edition (v1.4.0.13093 + 8 DLCs, MULTi10) [FitGirl Repack]",House Party: Supporter Edition,390,17,407,games
"South of Midnight: Premium Edition (v1.1.0-184977 + 2 DLCs/Bonuses, MULTi23) [Fi...",South of Midnight: Premium Edition [Fi,484,284,768,games
"CONTROL: Ultimate Edition (v1.30/517.915 + All DLCs, MULTi13) [FitGirl Repack, S...","CONTROL: Ultimate Edition [FitGirl , S",140,60,200,games
Xenoblade Chronicles X: Definitive Edition [SWITCH],Xenoblade Chronicles X: Definitive Edition,44,7,51,games
inZOI Update v2025.03.29,inZOI,61,1,62,games
Venus Vacation PRISM: DEAD OR ALIVE Xtreme - Digital Deluxe Edition with Early P...,Venus Vacation PRISM: DEAD OR ALIVE Xtreme - Digital Deluxe Edition with Early P,192,26,218,games
Lossless Scaling v3.1.0.2,Lossless Scaling 1 0 2,62,0,62,games
The Last of Us Part II Remastered Crackfix-RUNE,The Last of Us Part II Crackfix-RUNE,103,3,106,games
Commandos: Origins - Deluxe Edition & Classified Archives (v1.0.0.74101 + 3 DLCs...,Commandos: Origins - Deluxe Edition & Classified Archives ( 0 0 74101,877,313,1190,games
Kingdom Come: Deliverance II Update v1.2.2,Kingdom Come: Deliverance II,41,0,41,games
Atelier Yumia: The Alchemist of Memories & the Envisioned Land (v1.00b/v1.00c + ...,Atelier Yumia: The Alchemist of Memories & the Envisioned Land ( 00b/ 00c,263,25,288,games
inZOI Update v2025.03.30,inZOI,51,0,51,games
