main_title,total_seeders,total_leechers,total_peers
The Last of Us: Part II,1316,2219,3535
The Elder Scrolls IV: Oblivion,3935,2864,6799
The Elder Scrolls IV Oblivion,1209,390,1599
Clair Obscur: Expedition 33,3368,1531,4899
Schedule I,1228,41,1269
The Last of Us Part II,513,111,624
Clair Obscur Expedition 33,1449,540,1989
Blue Prince,825,16,841
Tempest Rising,525,82,607
Baldur's Gate 3,387,469,856
Commandos: Origins,283,16,299
South of Midnight,344,111,455
RuneScape: Dragonwilds,136,8,144
Schedule I,193,2,195
Schedule I,239,2,241
Schedule I 3 4f4,392,4,396
Mandragora: Whispers of the Witch Tree,309,32,341
Days Gone [FitGirl,488,529,1017
Into the Dead: Our Darkest Days 3 10829,87,6,93
Days Gone [DODI Re,156,210,366
The Sims 4,178,92,270
Age of Empires IV,131,105,236
Haste [FitGirl,191,17,208
Dave The Diver,246,15,261
The Last of Us Part II Crackfix,91,3,94
FATAL FURY: City of the Wolves,251,47,298
"Last Epoch [FitGirl , - fro",119,23,142
"Forever Skies [FitGirl , Selective Downl",144,8,152
Age of Wonders 4,141,10,151
Baldur’s Gate 3,148,151,299
Schedule I 3 4f8,163,4,167
inZOI,119,3,122
American Truck Simulator,133,17,150
South of Midnight,44,13,57
LUNAR Collection,124,12,136
South of Midnight,53,24,77
SnowRunner: 3-Year Anniversary Edition (/Season 15,98,21,119
Romancing SaGa 2: Revenge of the Seven,151,15,166
CarX Street,104,29,133
Aviassembly,80,1,81
Breath of Fire IV,252,5,257
#DRIVE Rally,123,3,126
DRAGON BALL: Sparking! ZERO,195,109,304
Baldurs Gate 3 1 1 6758295,34,21,55
"The Talos Principle: Reawakened [FitGirl , Selective Do",121,16,137
Last Epoch,59,6,65
Need For Speed Most Wanted Unofficial Remake,48,1,49
"Croc: Legend of the Gobbos - Remaster [FitGirl , Selective Downloa",50,18,68
Days Gone Broken Road,80,20,100
Lords of the Fallen,23,5,28
Mandragora Whispers of the Witch Tree,38,5,43
Kingdom Come: Deliverance II,25,1,26
"Soulslinger: Envoy of Death [FitGirl , Selective Do",90,19,109
Crashlands 2 [FitGirl,88,9,97
World of Goo 2,197,16,213
Age of Wonders 4 Giant Kings,38,4,42
Crusader Kings III: Collection,371,62,433
Nikoderiko: The Magical World - Director's Cut,68,7,75
Marvel's Spider-Man 2,15,20,35
Pax Augusta,97,5,102
Chains of Freedom,86,2,88
V Rising,356,77,433
Oxygen Not Included,120,1,121
Last Epoch Tombs of the Erased,14,1,15
BeamNG drive 35 5,40,8,48
Commandos Origins,51,3,54
CyberCorp,117,6,123
Drive Beyond Horizons 04 20,91,13,104
Steel Seed,93,21,114
SNOW BROS 2 SPECIAL,58,2,60
Dune: Imperium,76,0,76
UBOAT,55,5,60
Marvel's Spider-Man 2 Digital Deluxe Edition,27,3,30
Echoes of Yi: Samsara,72,34,106
Commandos: Origins,61,6,67
The Last Spell,133,10,143
LONESTAR,55,0,55
Monster Energy Supercross 25: The Official Video Game [FitGirl R,57,7,64
Nomad Idle 0 0c,38,0,38
STORROR Parkour Pro,21,7,28
Knock on the Coffin Lid: [F,70,5,75
Tempest Rising,70,15,85
