main_title,total_seeders,total_leechers,total_peers
The Last of Us: Part II,1316,2219,3535
The Elder Scrolls IV: Oblivion,4097,3287,7384
The Elder Scrolls IV Oblivion,1220,403,1623
Clair Obscur: Expedition 33,3382,1545,4927
Schedule I,1228,41,1269
The Last of Us Part II,507,110,617
Clair Obscur Expedition 33,1331,469,1800
Blue Prince,787,15,802
Tempest Rising,524,79,603
Baldur's Gate 3,399,367,766
Commandos: Origins,283,16,299
House Party,309,31,340
South of Midnight,344,111,455
RuneScape: Dragonwilds,136,7,143
Schedule I,193,2,195
Schedule I,239,2,241
Schedule I 3 4f4,392,4,396
Mandragora: Whispers of the Witch Tree,339,34,373
Days Gone [FitGirl,486,638,1124
Into the Dead: Our Darkest Days 3 10829,87,6,93
Days Gone [DODI Re,151,235,386
Age of Empires IV,131,105,236
Haste [FitGirl,191,17,208
The Sims 4,178,92,270
Dave The Diver,246,15,261
The Last of Us Part II Crackfix,91,3,94
inZOI,208,6,214
FATAL FURY: City of the Wolves,274,57,331
"Last Epoch [FitGirl , - fro",122,30,152
"Forever Skies [FitGirl , Selective Downl",144,8,152
Age of Wonders 4,141,10,151
Baldur’s Gate 3,148,151,299
Schedule I 3 4f8,145,4,149
American Truck Simulator,133,17,150
South of Midnight,44,13,57
LUNAR Collection,153,7,160
South of Midnight,53,24,77
SnowRunner: 3-Year Anniversary Edition (/Season 15,98,21,119
Romancing SaGa 2: Revenge of the Seven,151,15,166
CarX Street,98,26,124
Rain World,107,8,115
Aviassembly,80,1,81
Breath of Fire IV,278,6,284
#DRIVE Rally,123,3,126
Baldurs Gate 3 1 1 6758295,34,21,55
DRAGON BALL: Sparking! ZERO,203,108,311
"The Talos Principle: Reawakened [FitGirl , Selective Do",121,16,137
Last Epoch,72,3,75
"Croc: Legend of the Gobbos - Remaster [FitGirl , Selective Downloa",50,18,68
Need For Speed Most Wanted Unofficial Remake,48,1,49
Days Gone Broken Road,74,31,105
Lords of the Fallen,17,10,27
Mandragora Whispers of the Witch Tree,49,5,54
"Soulslinger: Envoy of Death [FitGirl , Selective Do",91,23,114
Kingdom Come: Deliverance II,39,1,40
Crashlands 2 [FitGirl,88,9,97
Age of Wonders 4 Giant Kings,38,4,42
Nikoderiko: The Magical World - Director's Cut,68,7,75
Marvel's Spider-Man 2,15,20,35
World of Goo 2,228,21,249
Chains of Freedom,86,2,88
Pax Augusta,93,3,96
Oxygen Not Included,123,2,125
Last Epoch Tombs of the Erased,18,1,19
Commandos Origins,51,3,54
BeamNG drive 35 5,40,8,48
CyberCorp,133,9,142
SNOW BROS 2 SPECIAL,58,2,60
Steel Seed,110,15,125
UBOAT,55,5,60
Dune: Imperium,76,0,76
Marvel's Spider-Man 2 Digital Deluxe Edition,13,2,15
Drive Beyond Horizons 04 20,67,6,73
Echoes of Yi: Samsara,88,23,111
Commandos: Origins,61,6,67
INAYAH: Life after Gods,92,3,95
LONESTAR,55,0,55
The Last Spell,142,7,149
Monster Energy Supercross 25: The Official Video Game [FitGirl R,57,7,64
Nomad Idle 0 0c,38,0,38
Knock on the Coffin Lid: [F,70,5,75
STORROR Parkour Pro,21,7,28
