title,clean_title,seeders,leechers,total_peers,category
A.Minecraft.Movie.2025.1080p.WORKPRINT.x264.COLLECTiVE,A Minecraft Movie WORKPRINT COLLECTiVE,2724,1799,4523,movies
Mickey.17.2025.1080p.WebRip.X264.COLLECTiVE,Mickey 17 COLLECTiVE,1912,1150,3062,movies
Black.Bag.2025.1080p.MA.WEB-DL.DDP5.1.x265-NeoNoir,Black Bag MA DDP5 1 -NeoNoir,2213,1854,4067,movies
The.Monkey.2025.1080p.WEBRip.x264.AAC-LAMA,The Monkey -LAMA,2126,618,2744,movies
In.the.Lost.Lands.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,In the Lost Lands DDP5 1 -NeoNoir,1799,709,2508,movies
Last.Breath.2025.1080p.WEB-DL.AAC5.1.x265-NeoNoir,Last Breath AAC5 1 -NeoNoir,1533,758,2291,movies
A Working Man (2025) 720p WEBRip-LAMA,A Working Man -LAMA,2000,2145,4145,movies
Novocaine.2025.1080p.HDRip.Cropped-NoAds.INT.READ.NFO.x264-AMC,Novocaine Cropped-NoAds INT READ NFO -AMC,1480,2024,3504,movies
Cleaner 2025 1080p WEB-DL HEVC x265 5.1 BONE,Cleaner 5 1 BONE,1437,260,1697,movies
Bill.Burr.Drop.Dead.Years.2025.1080p.WEB.H264-AccomplishedYak,Bill Burr Drop Dead Years WEB H264-AccomplishedYak,751,106,857,movies
Mickey 17 2025 1080p WEB-DL HEVC x265 5.1 BONE,Mickey 17 5 1 BONE,3725,2878,6603,movies
Sikandar 2025 1080p HQ Telesync V1 NO WM 2.0 Hindi DIGITAL HC ESUB - PANTHER RIP...,Sikandar HQ NO WM 2 0 Hindi DIGITAL ESUB - PANTHER RIP,823,77,900,movies
Novocaine.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,Novocaine DDP5 1 -NeoNoir,1509,1178,2687,movies
Batman.Ninja.vs.Yakuza.League.2025.1080p.WEB-DL.AAC5.1.x265-NeoNoir,Batman Ninja vs Yakuza League AAC5 1 -NeoNoir,663,53,716,movies
Deva 2025 1080p WEB-DL AAC5.1 x265 - xRG,Deva AAC5 1 - xRG,293,39,332,movies
The Alto Knights 2025 1080p WEB-DL HEVC x265 5.1 BONE,The Alto Knights 5 1 BONE,1527,498,2025,movies
"Officer on Duty (2025) 720p WEBRip x264 AAC [ Hin, Mal ] ESub",Officer on Duty ESub,640,51,691,movies
G20.2025.1080p.DS4K.WEB-DL.DDP5.1.x265-NeoNoir,G20 DS4K DDP5 1 -NeoNoir,1210,623,1833,movies
Holland.2025.1080p.AMZN.WEB-DL.DDP5.1.H.265-P2PClub,Holland AMZN DDP5 1 H 265-P2PClub,471,167,638,movies
A.Working.Man.2025.1080p.HDRip.Cam.Audio.READNFO.x264.COLLECTiVE,A Working Man Audio READNFO COLLECTiVE,236,138,374,movies
A Working Man 2025 1080p HDRip (Cam Audio) HEVC x265-RMTeam,A Working Man -RMTeam,707,453,1160,movies
A.Working.Man.2025.1080p.WEB-DL.DDP5.1.x265-NeoNoir,A Working Man DDP5 1 -NeoNoir,1824,1572,3396,movies
The.Assessment.2024.1080p.WEB-DL.DDP5.1.x265-NeoNoir,The Assessment DDP5 1 -NeoNoir,730,269,999,movies
A.Minecraft.Movie.2025.1080p.TeleSync.Brighter.Version.X264.COLLECTiVE,A Minecraft Movie Brighter Version COLLECTiVE,913,396,1309,movies
Black Bag (2025) Eng 1080p WEBRip x265 AAC ESub,Black Bag ESub,279,228,507,movies
Mickey 17 2025 1080p HDRip HEVC x265-RMTeam,Mickey 17 -RMTeam,852,822,1674,movies
Popeye.The.Slayer.Man 2025.1080p.WEB-DL.x264.DD5.1-BobDobbs,Popeye The Slayer Man DD5 1-BobDobbs,635,100,735,movies
Gunslingers.2025.1080p.WEBRip.x264.AAC5.1-LAMA,Gunslingers AAC5 1-LAMA,1101,229,1330,movies
Riff.Raff.2024.1080p.WEBRip.x264.AAC5.1-LAMA,Riff Raff AAC5 1-LAMA,302,59,361,movies
A.Knights.War.2025.1080p.WEB-DL.AAC5.1.x265-NeoNoir,A Knights War AAC5 1 -NeoNoir,311,29,340,movies
Black.Bag.2025.1080p.WEBRip.AAC5.1.10bits.x265-Rapta,Black Bag AAC5 1 10bits -Rapta,1118,1048,2166,movies
Black.Bag.2025.1080p.WEBRip.x264.DDP5.1-APEX,Black Bag DDP5 1-APEX,810,365,1175,movies
Chhaava 2025 1080p DS4K WEB-DL DDP5.1 x265 - xRG,Chhaava DS4K DDP5 1 - xRG,348,74,422,movies
Deva (2025) Hindi 720p WEBRip x264 AAC ESub,Deva Hindi ESub,324,46,370,movies
Home.Sweet.Home.Rebirth.2025.1080p.WEBRip.x264.AAC5.1-LAMA,Home Sweet Home Rebirth AAC5 1-LAMA,873,145,1018,movies
