title,seeders,leechers,total_peers
"Croc: Legend of the Gobbos - Remaster (v1.01) [FitGirl Repack, Selective Downloa...",129,41,170
"Dark Deity 2: Deluxe Edition (v1.0.1 + Bonus Soundtrack) [FitGirl Repack, Select...",94,9,103
Atelier Yumia The Alchemist of Memories And the Envisioned Land-TENOKE,21,1,22
"3D Escape Room: Detective Story (v1.1.5, MULTi7) [FitGirl Repack]",72,1,73
WWE 2K25 Update v1.05,9,8,17
Strike Force 2: Terrorist Hunt - Enhanced Edition (v2.0.1) [FitGirl Repack],57,4,61
"GUILTY GEAR -STRIVE-: Daredevil Edition (v1.44 + 31 DLC/Bonuses, MULTi9) [FitGir...",59,23,82
Tainted Grail: The Fall of Avalon v0.9 (GOG),27,5,32
"Reignbreaker (v1.0.0/Release, MULTi11) [FitGirl Repack]",64,3,67
INAYAH: Life after Gods (MULTi10) [FitGirl Repack],129,8,137
"World Racing 2: Champion Edition (v1.5.3, MULTi5) [FitGirl Repack]",41,3,44
Atelier Yumia: The Alchemist of Memories & the Envisioned Land - Ultimate Editio...,38,6,44
Sledders (v1.0/Release) [FitGirl Repack],43,4,47
Project Zomboid v42.5.1,27,1,28
God of War Ragnarok Update Patch 9,10,1,11
Spilled!,36,0,36
"Corner Kitchen: Fast Food Simulator (v1.1.1, MULTi6) [FitGirl Repack]",76,3,79
Witchfire (The Witch Mountain Update),10,3,13
AI LIMIT-RUNE,14,1,15
"House Builder: Pack and Punch Bundle (Build 20-03-2025/17797254 + 5 DLCs, MULTi3...",57,11,68
Robin Hood: Sherwood Defenders (MULTi9) [FitGirl Repack],52,9,61
"Them and Us: Ultimate Edition (v1.1.2 + 6 DLCs/Bonuses, MULTi13) [FitGirl Repack...",42,16,58
